57	444
78	430
107	407
139	390
179	380
219	373
255	365
286	362
314	359
333	359
354	362
374	366
382	371
404	378
422	385
444	386
457	379
470	368
487	354
503	341
519	329
535	318
553	306
570	299
588	294
612	285
643	276
667	270
687	266
714	264
734	260
756	257
775	253
795	249
817	247
847	243
873	239
894	231
913	228
938	219
948	203
967	191
986	184
1009	179
1026	175
1052	172
1073	169
1092	168
1120	162
1149	156
1176	152
1176	152
1210	154
1237	153
1259	158
1280	160
1298	165
1321	173
1346	182
1369	191
1391	202
1413	213
1436	226
1460	232
1481	245
1497	255
1517	276
1528	288
1545	318
1560	351
1568	376
1584	409
1608	450
1621	477
1621	512
1621	552
1613	582
1595	606
1578	638
1564	664
1546	689
1528	715
1511	740
1485	767
1452	795
1422	814
1390	835
1351	852
1315	869
1279	884
1245	895
1213	910
1175	925
1143	941
1109	957
1077	972
1042	986
1012	993
983	993
949	985
930	980
902	992
873	1004
852	1029
818	1029
768	1028
736	1029
695	1029
646	1028
590	1027
516	1025
434	1023
390	1022
329	1020
292	1021
251	1015
235	1005
205	992
181	976
158	955
138	935
107	904
88	876
64	842
46	812
38	797
40	729
44	612
47	461
